Team_1,Team_2,Winner
Bangladesh ,Pakistan,Bangladesh 
Bangladesh ,Pakistan,Bangladesh 
Bangladesh ,Pakistan,Bangladesh 
Ireland ,England,No result
Pakistan ,Zimbabwe,Pakistan 
Pakistan ,Zimbabwe,Pakistan 
Pakistan ,Zimbabwe,No result
England ,New Zealand,England 
England,New Zealand,New Zealand 
England ,New Zealand,New Zealand 
England ,New Zealand,England
Bangladesh,India,Bangladesh 
England ,New Zealand,England
Bangladesh ,India,Bangladesh 
Bangladesh ,India,India
Bangladesh ,South Africa,South Africa
Zimbabwe ,India,India
Sri Lanka ,Pakistan,Pakistan
Bangladesh ,South Africa,Bangladesh 
Zimbabwe ,India,India
Zimbabwe ,India,India
Sri Lanka ,Pakistan,Sri Lanka 
Bangladesh ,South Africa,Bangladesh
Sri Lanka ,Pakistan,Pakistan
Sri Lanka ,Pakistan,Pakistan
Sri Lanka ,Pakistan,Sri Lanka
Zimbabwe ,New Zealand,Zimbabwe 
Zimbabwe ,New Zealand,New Zealand
Zimbabwe ,New Zealand,New Zealand
South Africa,New Zealand,South Africa
South Africa ,New Zealand,New Zealand 
South Africa ,New Zealand,South Africa
Ireland ,Australia,Australia 
England ,Australia,Australia 
England ,Australia,Australia 
England,Australia,England
England ,Australia,England
England ,Australia,Australia
Zimbabwe ,Pakistan,Pakistan
Zimbabwe ,Pakistan,Zimbabwe
Zimbabwe ,Pakistan,Pakistan
India ,South Africa,India 
Zimbabwe ,Afghanistan,Zimbabwe
Zimbabwe,Afghanistan,Afghanistan 
India ,South Africa,South Africa
Zimbabwe ,Afghanistan,Zimbabwe
India ,South Africa,India
Zimbabwe ,Afghanistan,Afghanistan
Zimbabwe ,Afghanistan,Afghanistan
India ,South Africa,South Africa
Sri Lanka ,West Indies,Sri Lanka
Sri Lanka ,West Indies,Sri Lanka
Bangladesh ,Zimbabwe,Bangladesh 
Sri Lanka,West Indies,Sri Lanka
Bangladesh ,Zimbabwe,Bangladesh 
Pakistan ,England,Pakistan
Bangladesh,Zimbabwe,Bangladesh
Pakistan ,England,England 
Pakistan ,England,England 
Pakistan,England,England
Afghanistan ,Zimbabwe,Afghanistan
New Zealand ,Sri Lanka,New Zealand
New Zealand ,Sri Lanka,New Zealand
Afghanistan ,Zimbabwe,Afghanistan
New Zealand ,Sri Lanka,Sri Lanka 
Afghanistan ,Zimbabwe,Zimbabwe
New Zealand ,Sri Lanka,No result
Afghanistan ,Zimbabwe,Zimbabwe
New Zealand ,Sri Lanka,New Zealand
Afghanistan ,Zimbabwe,Afghanistan
Australia ,India,Australia
Australia ,India,Australia
Australia ,India,Australia
Australia ,India,India
New Zealand ,Pakistan,New Zealand
New Zealand ,Pakistan,Match abandoned
New Zealand,Pakistan,New Zealand
New Zealand ,Australia,New Zealand
South Africa ,England,England
New Zealand ,Australia,Australia
South Africa ,England,England
New Zealand,Australia,New Zealand
South Africa ,England,South Africa
South Africa ,England,South Africa
South Africa ,England,South Africa
West Indies ,Australia,Australia
Australia ,South Africa,South Africa
Zimbabwe,India,India
Australia,South Africa,Australia
Zimbabwe ,India,India
West Indies ,Australia,West Indies
Zimbabwe ,India,India
West Indies ,South Africa,South Africa
Ireland ,Sri Lanka,Sri Lanka
Ireland ,Sri Lanka,Sri Lanka
Australia ,South Africa,No result
England ,Sri Lanka,Match Tied
West Indies ,Australia,Australia
England ,Sri Lanka,England
West Indies ,South Africa,West Indies
England,Sri Lanka,No result
West Indies ,Australia,Australia
England ,Sri Lanka,England
England ,Sri Lanka,England
Scotland ,Afghanistan,No result
Scotland ,Afghanistan,Afghanistan
Ireland,Afghanistan,Match abandoned
Ireland,Afghanistan,Afghanistan
Ireland,Afghanistan,Ireland
Ireland ,Afghanistan,Afghanistan
Ireland ,Afghanistan,Ireland
Ireland ,Pakistan,Pakistan
Ireland ,Pakistan,Match abandoned
Sri Lanka ,Australia,Australia
England ,Pakistan,England
