Team_1,Team_2,Winner
England,New Zealand,
Pakistan,Netherlands,
Bangladesh,Afghanistan,
South Africa,Sri Lanka,
India,Australia,
New Zealand,Netherlands,
England,Bangladesh,
Pakistan,Sri Lanka,
India,Afghanistan,
Australia,South Africa,
New Zealand,Bangladesh,
India,Pakistan,
England,Afghanistan,
Australia,Sri Lanka,
South Africa,Netherlands,
New Zealand,Afghanistan,
India,Bangladesh,
Australia,Pakistan,
Netherlands,Sri Lanka,
England,South Africa,
India,New Zealand,
Pakistan,Afghanistan,
South Africa,Bangladesh,
Australia,Netherlands,
England,Sri Lanka,
Pakistan,South Africa,
Australia,New Zealand,
Netherlands,Bangladesh,
India,England,
Afghanistan,Sri Lanka,
Pakistan,Bangladesh,
New Zealand,South Africa,
India,Sri Lanka,
Netherlands,Afghanistan,
New Zealand,Pakistan,
England,Australia,
India,South Africa,
Bangladesh,Sri Lanka,
Australia,Afghanistan,
England,Netherlands,
New Zealand,Sri Lanka,
South Africa,Afghanistan,
Australia,Bangladesh,
England,Pakistan,
India,Netherlands,
